movieId,tag,rating,genres,release_year,title_movie,imdb,tmdb
1,pixar|pixar|fun,3.9209302325581397,Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story ,"
                    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
            ","
Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.
"
2,fantasy|magic board game|Robin Williams|game,3.4318181818181817,Adventure|Children|Fantasy,1995,Jumanji ,"
                    When two kids find and play a magical board game, they release a man trapped in it for decades--and a host of dangers that can only be stopped by finishing the game.
            ","
When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.
"
3,moldy|old,3.2596153846153846,Comedy|Romance,1995,Grumpier Old Men ,"
                    John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.
            ","
A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.
"
5,pregnancy|remake,3.0714285714285716,Comedy,1995,Father of the Bride Part II ,"
                    George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.
            ","
Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.
"
7,remake,3.185185185185185,Comedy|Romance,1995,Sabrina ,"
                    An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
            ","
An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
"
11,politics|president,3.6714285714285713,Comedy|Drama|Romance,1995,"American President, The ","
                    A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.
            ","
Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.
"
14,politics|president,3.8333333333333335,Drama,1995,Nixon ,"
                    A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.
            ","
An epic look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.
"
16,Mafia,3.926829268292683,Crime|Drama,1995,Casino ,"
                    A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
            ","
In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.
"
17,Jane Austen,3.7761194029850746,Drama|Romance,1995,Sense and Sensibility ,"
                    Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.
            ","
Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.
"
21,Hollywood,3.49438202247191,Comedy|Crime|Thriller,1995,Get Shorty ,"
                    A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.
            ","
Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.
"
